,citrus|WP_045714871.1,citrus|WP_011052193.1,citrus|WP_052456244.1,citrus|WP_191589000.1,citrus|WP_011052147.1,citrus|WP_052690681.1,citrus|WP_011050550.1,citrus|WP_442712828.1,citrus|WP_011051229.1,citrus|WP_011050083.1,grape|WP_232350932.1,grape|WP_244441022.1,grape|WP_080715310.1,grape|WP_033485481.1,grape|WP_005924051.1,grape|WP_033485020.1,grape|WP_033485945.1,grape|WP_050495026.1,grape|WP_080715265.1,grape|WP_164677996.1,pomegranate|WP_233700232.1,pomegranate|WP_306291509.1,pomegranate|WP_005932979.1,pomegranate|WP_192486489.1,pomegranate|WP_192486500.1,pomegranate|WP_160964032.1,pomegranate|WP_233700267.1,pomegranate|WP_176558553.1,pomegranate|WP_087947207.1,pomegranate|WP_425525089.1,xoo|WP_242505180.1,xoo|WP_012444473.1,xoo|WP_129215632.1,xoo|WP_129215608.1,xoo|WP_229002594.1,xoo|WP_242505189.1,xoo|WP_206737953.1,xoo|WP_129215671.1,xoo|WP_129215596.1,xoo|WP_129215587.1
citrus|WP_045714871.1,1.0000000000000064,4.9243219109538946e-05,0.01313904500602804,0.206344037689629,0.024230089909906723,0.013062399460977524,0.15466118477525023,0.031596012780938904,0.07424389540938382,0.07324834201245,0.29242424059702954,0.020514538053250337,0.019325252980707405,0.052017244956006306,0.044760590728402376,0.05670190875571369,0.03365314891016226,0.16652795975824244,0.04413821690104558,0.12830272455721686,0.0021706971729147165,0.11235292600576986,0.12473112631232697,0.021256669240756716,0.021256669240756716,0.021196889303610363,0.15669559784146125,0.10520818272743922,0.08052245325052394,0.10700696189087616,0.11049223622831006,0.029181765992691077,0.04249487045308471,0.025750858440005565,0.00020321884221689013,0.30908189450928925,0.07548808483079374,0.0682345041586825,0.03619071625507915,0.03699480903924367
citrus|WP_011052193.1,4.9243219109578845e-05,1.0000000000000044,0.8553853563407806,0.023895230489869322,0.1025469650867309,0.17738406863645828,0.12750766362478377,0.08628310177300551,0.03793384667915346,0.0350136880824726,0.05132753136785939,0.0030855649092688415,0.03370844837809227,0.08372434073680696,0.024840809590386793,0.11715955438740047,0.12330565173033545,0.1497392015244254,0.0003327538979646417,0.010273457019140127,0.02695374078575684,0.05604834282530925,0.08021754457695483,0.14349855637010334,0.14349855637010336,0.14551838314946364,0.12482032227671862,0.07565099852217996,0.06786802337228608,0.07820018685561266,0.01705830964783494,0.01034352924761954,0.01570902959974703,0.025275641133703643,0.05984413586338688,0.06712700881871578,0.1048879309382762,0.018351272718063517,0.06336801482029923,0.061955374392710275
citrus|WP_052456244.1,0.013139045006028024,0.8553853563407806,1.0000000000000058,0.0333529811377935,0.07838128830189844,0.17775262371833478,0.1819220810339191,0.10483124460733982,0.09158284505065399,0.08988257983219303,0.17557314542500357,0.029444770620101136,0.009659525476308517,0.1992107897513045,0.010028914321082754,0.08654779434618999,0.09311761340905039,0.25889389955227626,0.0145630543538569,0.07706911380773922,0.06152490127533354,0.01852146137935281,0.08461412496035503,0.17631984192121164,0.17631984192121164,0.1796792443783474,0.052047090948689215,0.06375510921862013,0.05860441578988853,0.060220960558583,0.0006941486790284524,0.04618214913170795,0.009175989947833037,0.05061294758888802,0.06080226520862163,0.1005797520210754,0.1274586742401889,0.05962200297835652,0.10422835727149561,0.10308612752123725
citrus|WP_191589000.1,0.2063440376896291,0.023895230489869343,0.033352981137793516,1.0000000000000004,0.02801819168962567,0.13091438920491943,0.17167137717478792,0.019827523026835152,0.003830534657028258,0.004526210053882859,0.07351344904418425,0.0260902731843089,0.002983101912832567,0.016611504765024102,0.0032141940046141993,0.004832797292694153,0.004969064541002661,0.08899191497220972,0.22087633314004165,0.09826162013996435,0.014873878504660402,0.01145749341230875,0.030939220850996832,0.05932014041900405,0.059320140419003915,0.05718726715167585,0.2716750215786302,0.027810222591143324,0.09342564803228057,0.03207936657781902,0.18839638647114115,0.001424749161742623,0.09186255402528418,0.05030721478942857,0.1128842043472114,0.1977047459713488,0.015951282432070276,0.040336767400731215,0.005393511755756026,0.005875318711332758
citrus|WP_011052147.1,0.024230089909906723,0.10254696508673088,0.07838128830189844,0.028018191689625684,0.9999999999999991,0.049817584565972226,0.08880539823258163,0.0021423817634077615,0.06017916879682297,0.05919077351609341,0.10892683183374231,0.04724483647441975,0.154177615588197,0.012083104078556322,0.20076999175216687,0.02024409209116117,0.024119795680235135,0.0012105005735068156,0.06470386066575906,0.06052720590559957,0.0012691601114058195,0.03883259684334963,0.036780233516765695,0.0072091932361211366,0.007209193236121254,0.007802897394866829,0.04698895477486135,0.058932625483067665,0.022491683936096886,0.05867921227218286,0.07383546278833718,0.006545870084666293,0.12739371447423695,0.027029995979318558,0.004555836798318545,0.053507913902648814,0.03757149713055745,0.06673199742726942,0.18251150212927372,0.17940943049870844
citrus|WP_052690681.1,0.013062399460977524,0.17738406863645823,0.17775262371833478,0.13091438920491946,0.04981758456597224,1.0000000000000016,0.05888642478930819,0.0655774535043755,0.04871377004383427,0.04659765027281669,0.01913466685436872,0.006781491150832937,0.1811727463300484,0.03791016189461442,0.08370718667902051,0.039209354759805845,0.018470936260201486,0.1268006646096176,0.08388950600965528,0.044607505093153796,0.057800646329271156,0.0764727563582723,0.054017980839491005,0.005020633640014618,0.005020633640014658,0.005284621953250668,0.036385918550877125,0.11562494199461264,0.1392924564588629,0.12022306675135269,0.20785694726146303,0.0656770594996499,0.011874193060066622,0.1293542515977614,0.01834893220620911,0.042198358660244364,0.011919799413592131,0.20843617018363292,0.3089026991892762,0.30684014528196735
citrus|WP_011050550.1,0.15466118477525023,0.12750766362478377,0.1819220810339191,0.17167137717478792,0.08880539823258163,0.058886424789308146,1.0000000000000016,0.1169787865801505,0.08351387338734735,0.08172456792999648,0.06468814001346052,0.16057552709389616,0.014853335676890598,0.009768782791070957,0.03320171552149987,0.00836810004330003,0.003842111680569997,0.07177052078623228,4.5959952331348436e-05,0.1582456967844322,0.05056431052071299,0.15351064647256915,0.16122218426244275,0.03446311001607613,0.03446311001607602,0.035123749716148185,0.01680641813254473,0.10510402986074166,0.09070325615721421,0.10544129012851215,0.04112977039767302,0.054155049265318826,0.12849618194559018,0.008673060148795637,0.04010892920814365,0.04483323019303515,0.04312312912406821,0.03181363397925439,0.026178971618720993,0.026558808605842327
citrus|WP_442712828.1,0.031596012780938904,0.0862831017730055,0.10483124460733977,0.01982752302683517,0.002142381763407694,0.06557745350437544,0.11697878658015058,0.9999999999999967,0.10881033355690455,0.10877828887532874,0.18823270032771686,0.006115080574091593,0.21055486396289813,0.14567192954564262,0.1333667283797703,0.15115308792883286,0.23436412644332436,0.029835410170563167,0.008840572209010565,0.09968550738085398,0.08170832764699314,0.03689348796615374,0.0894768728394413,0.10252348955327656,0.10252348955327642,0.10399367667196088,0.18550279650844326,0.14937843795087324,0.18180983175079793,0.15287759781676966,0.023525844640974056,0.3427445867619107,0.048039212717413154,0.004916631854940439,0.10762377753053459,0.01959023576637309,0.02524641199488666,0.16697136161019457,0.06656020558512023,0.07000585433706899
citrus|WP_011051229.1,0.07424389540938381,0.03793384667915346,0.09158284505065399,0.003830534657028248,0.06017916879682298,0.048713770043834245,0.08351387338734735,0.10881033355690453,1.0000000000000013,0.9996753219384124,0.1336936613042794,0.20325891226093526,0.10710954160095035,0.5656691177373433,0.020898046794174195,0.020423510899491668,0.0355828793653929,0.08510382295753587,0.0106097580064667,0.10830814111614086,0.022475119509182066,0.0023049376086425257,0.05574426530074598,0.3377600461208189,0.3377600461208188,0.33795183106667415,0.05254239046917147,0.830257697898561,0.4601381538377625,0.8070647844124341,0.08527116506047759,0.14630358256363388,0.001286164168051108,0.07288983871512761,0.07842331941174122,0.026518265834967046,0.027203760080738083,0.10932407830114413,0.031731206978295325,0.03265283157452674
citrus|WP_011050083.1,0.07324834201244997,0.03501368808247257,0.089882579832193,0.004526210053882842,0.05919077351609341,0.046597650272816676,0.08172456792999648,0.10877828887532882,0.9996753219384124,0.9999999999999991,0.13523069606526444,0.20520659216162976,0.10657739413000032,0.5806429957956417,0.021155356685995264,0.020967093467334587,0.036651072923632344,0.08572049453323413,0.011591917984332654,0.10820143458477152,0.023400901856803373,0.0021368675606937724,0.05611136845982373,0.348188524945724,0.34818852494572383,0.34840757659185123,0.05480386918134166,0.8227007111454444,0.4461454076263186,0.7994340732293507,0.08600872408351337,0.1481337725945197,0.0013164579413571912,0.07536927235560086,0.07725706105884457,0.028491135273725817,0.026901620307398108,0.10803502806265916,0.030777790871071718,0.031685289141025454
